Number,Date,Month,Site,SiteMonth,Treatment,Flower,Flower_status,Method,Sex,Genus,Species,GenusSpecies,Family 
200,6/17/2020,June,T10,June-T10,Thinned,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
201,6/17/2020,June,T10,June-T10,Thinned,,,Pan trap,F,Osmia,brevis,Osmia brevis,Megachilidae
202,6/17/2020,June,T8,June-T8,Thinned,,,Pan trap,F,Stelis,foederalis,Stelis foederalis,Megachilidae
203,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
204,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
205,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
206,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
207,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
208,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
209,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
210,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
211,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
212,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
213,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
214,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
215,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
216,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
217,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
218,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
219,6/18/2020,June,C28,June-C28,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
220,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Osmia,densa,Osmia densa,Megachilidae
221,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
222,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
223,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
224,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
225,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
226,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
227,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
228,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
229,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
230,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
231,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
232,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
233,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
234,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
235,6/18/2020,June,C23,June-C23,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
236,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
237,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
238,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
239,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
240,6/18/2020,June,C24,June-C24,Control,,,Pan trap,M,Dufourea,maura,Dufourea maura,Halictidae
241,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
242,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Osmia,brevis,Osmia brevis,Megachilidae
243,6/18/2020,June,C24,June-C24,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
244,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
245,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
246,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
247,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
248,6/18/2020,June,C27,June-C27,Control,,,Pan trap,M,Nomada,sp. B,Nomada sp. B,Apidae
249,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Osmia,densa,Osmia densa,Megachilidae
250,6/18/2020,June,C27,June-C27,Control,,,Pan trap,M,Osmia,bruneri,Osmia bruneri,Megachilidae
251,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
252,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
253,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
254,6/18/2020,June,C27,June-C27,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
255,6/18/2020,June,C27,June-C27,Control,,,Pan trap,M,Osmia,brevis,Osmia brevis,Megachilidae
256,6/18/2020,June,C30,June-C30,Control,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
257,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Dufourea,maura,Dufourea maura,Halictidae
258,6/18/2020,June,C30,June-C30,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
259,6/18/2020,June,C30,June-C30,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
260,6/18/2020,June,C30,June-C30,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
261,6/18/2020,June,C25,June-C25,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
262,6/18/2020,June,C25,June-C25,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
263,6/18/2020,June,C25,June-C25,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
264,6/18/2020,June,C25,June-C25,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
265,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
266,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
267,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
268,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
269,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
270,6/18/2020,June,C26,June-C26,Control,,,Pan trap,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
271,6/17/2020,June,T9,June-T9,Thinned,Potentilla,Native,Net,F,Hoplitis,fulgida,Hoplitis fulgida,Megachilidae
272,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Megachile,melanophaea,Megachile melanophaea,Megachilidae
273,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
274,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
275,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Megachile,pugnata pugnata,Megachile pugnata pugnata,Megachilidae
276,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
277,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
278,6/17/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,M,Megachile,gemula,Megachile gemula,Megachilidae
279,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
280,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
281,6/17/2020,June,T8,June-T8,Thinned,Penstemon virens,Native,Net,F,Anthophora,porterae,Anthophora porterae,Apidae
282,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
283,6/17/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,F,Osmia,coloradensis,Osmia coloradensis,Megachilidae
284,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
285,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
286,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
287,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
288,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Megachile,melanophaea,Megachile melanophaea,Megachilidae
289,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
290,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
291,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
292,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,huntii,Bombus huntii,Apidae
293,6/17/2020,June,T11,June-T11,Thinned,Astragalus miser,Native,Net,F,Megachile,melanophaea,Megachile melanophaea,Megachilidae
294,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Megachile,melanophaea,Megachile melanophaea,Megachilidae
295,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
296,6/15/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
297,6/16/2020,June,C25,June-C25,Control,Ground,,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
298,6/15/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
299,6/15/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,albolateralis,Osmia albolateralis,Megachilidae
300,6/15/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
301,6/15/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
302,6/15/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
303,6/15/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
304,6/15/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,F,Osmia,coloradensis,Osmia coloradensis,Megachilidae
305,6/15/2020,June,T15,June-T15,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
306,6/15/2020,June,T15,June-T15,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
307,6/15/2020,June,T15,June-T15,Thinned,Penstemon virens,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
308,6/15/2020,June,T15,June-T15,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
309,6/15/2020,June,T15,June-T15,Thinned,Penstemon virens,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
310,6/15/2020,June,T12,June-T12,Thinned,Penstemon virens,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
311,6/15/2020,June,T12,June-T12,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
312,6/15/2020,June,T12,June-T12,Thinned,Penstemon virens,Native,Net,F,Dufourea,maura,Dufourea maura,Halictidae
313,6/15/2020,June,T12,June-T12,Thinned,Geranium caespitosum,Native,Net,M,Osmia,proxima,Osmia proxima,Megachilidae
314,6/15/2020,June,T8,June-T8,Thinned,Mertensia lanceolata,Native,Net,M,Megachile,melanophaea,Megachile melanophaea,Megachilidae
315,6/16/2020,June,C29,June-C29,Control,Jamesia americana,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
316,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Melissodes,agilis,Melissodes agilis,Apidae
317,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Anthophora,porterae,Anthophora porterae,Apidae
318,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
319,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
320,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
321,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
322,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Anthophora,bomboides,Anthophora bomboides,Apidae
323,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Osmia,bruneri,Osmia bruneri,Megachilidae
324,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
325,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Anthophora,porterae,Anthophora porterae,Apidae
326,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
327,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
328,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
329,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
330,6/17/2020,June,T12,June-T12,Thinned,,,Blue vane,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
331,6/2/2020,June,T1,June-T1,Thinned,Packera fendleri,Native,Net,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
332,6/4/2020,June,C18,June-C18,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
333,6/2/2020,June,T2,June-T2,Thinned,Erysimum capitatum,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
334,6/2/2020,June,T2,June-T2,Thinned,Erysimum capitatum,Native,Net,F,Halictus,confusus,Halictus confusus,Halictidae
335,6/2/2020,June,T4,June-T4,Thinned,Erigeron,Native,Net,M,Andrena,sp. F,Andrena sp. F,Andrenidae
336,6/2/2020,June,T4,June-T4,Thinned,Erigeron,Native,Net,M,Andrena,sp. F,Andrena sp. F,Andrenidae
337,6/3/2020,June,C21,June-C21,Control,Potentilla,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
338,6/3/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
340,6/3/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
341,6/4/2020,June,T2,June-T2,Thinned,Erysimum capitatum,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
342,6/4/2020,June,T2,June-T2,Thinned,Cerastium arvense,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
343,6/4/2020,June,T4,June-T4,Thinned,Erigeron,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
344,6/5/2020,June,C21,June-C21,Control,Cerastium arvense,Native,Net,F,Augochlorella,aurata,Augochlorella aurata,Halictidae
345,6/5/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
346,6/5/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,M,Hoplitis,fulgida,Hoplitis fulgida,Megachilidae
347,6/5/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
348,6/5/2020,June,T7,June-T7,Thinned,Potentilla,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
349,6/4/2020,June,C18,June-C18,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
350,6/4/2020,June,C18,June-C18,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
351,6/4/2020,June,C18,June-C18,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
352,6/8/2020,June,T12,June-T12,Thinned,Erysimum capitatum,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
353,6/8/2020,June,T10,June-T10,Thinned,Packera fendleri,Native,Net,F,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
354,6/8/2020,June,T10,June-T10,Thinned,Packera fendleri,Native,Net,M,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
355,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Svastra,obliqua,Svastra obliqua,Apidae
356,6/8/2020,June,T10,June-T10,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
357,6/4/2020,June,C18,June-C18,Control,,,Blue vane,M,Osmia,bucephala,Osmia bucephala,Megachilidae
358,6/4/2020,June,C18,June-C18,Control,,,Blue vane,F,Osmia,juxta,Osmia juxta,Megachilidae
359,6/15/2020,June,T15,June-T15,Thinned,Potentilla,Native,Net,F,Hylaeus,mesillae,Hylaeus mesillae,Colletidae
360,6/4/2020,June,C19,June-C19,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
361,6/15/2020,June,T12,June-T12,Thinned,Packera fendleri,Native,Net,F,Ceratina,nanula,Ceratina nanula,Apidae
362,6/15/2020,June,T12,June-T12,Thinned,Packera fendleri,Native,Net,F,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
363,6/15/2020,June,T11,June-T11,Thinned,Erigeron divergens,Native,Net,F,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
364,8/6/2020,August,T5,August-T5,Thinned,,,Blue vane,F,Bombus,appositus,Bombus appositus,Apidae
365,6/15/2020,June,T9,June-T9,Thinned,Geranium caespitosum,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
366,6/15/2020,June,T9,June-T9,Thinned,Ground,,Net,F,Nomada,sp. C,Nomada sp. C,Apidae
367,6/15/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
368,8/6/2020,August,T6,August-T6,Thinned,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
369,6/17/2020,June,T8,June-T8,Thinned,Potentilla,Native,Net,F,Sphecodes,spp.,Sphecodes spp.,Halictidae
370,6/17/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
371,6/17/2020,June,T8,June-T8,Thinned,Packera fendleri,Native,Net,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
372,6/4/2020,June,C19,June-C19,Control,,,Blue vane,F,Bombus,centralis,Bombus centralis,Apidae
373,6/17/2020,June,T11,June-T11,Thinned,Lupinus argenteus,Native,Net,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
374,6/17/2020,June,T9,June-T9,Thinned,Packera fendleri,Native,Net,F,Ashmeadiella,californica,Ashmeadiella californica,Megachilidae
375,6/17/2020,June,T14,June-T14,Thinned,Penstemon virens,Native,Net,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
376,6/18/2020,June,C28,June-C28,Control,Packera fendleri,Native,Net,M,Ceratina,neomexicana,Ceratina neomexicana,Apidae
377,7/16/2020,July,T5,July-T5,Thinned,Chamaenerion angustifolium,Native,Net,M,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
378,7/16/2020,July,T5,July-T5,Thinned,Campanula rotundifolia,Native,Net,M,Andrena,sp. D,Andrena sp. D,Andrenidae
379,7/14/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,,Unknown,,Unknown,
380,7/14/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,M,Melissodes,agilis,Melissodes agilis,Apidae
381,7/14/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,F,Epeolus,minimus,Epeolus minimus,Apidae
382,7/16/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,M,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
383,7/16/2020,July,C21,July-C21,Control,Geranium caespitosum,Native,Net,F,Halictus,tripartitus,Halictus tripartitus,Halictidae
384,8/6/2020,August,C21,August-C21,Control,,,Blue vane,F,Bombus,rufocinctus,Bombus rufocinctus,Apidae
385,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
386,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
387,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,mesillae,Hylaeus mesillae,Colletidae
388,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
389,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
390,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
391,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Hylaeus,modestus,Hylaeus modestus,Colletidae
392,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Epeolus,minimus,Epeolus minimus,Apidae
393,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,F,Hylaeus,spp. ,Hylaeus spp.,Colletidae
394,7/16/2020,July,T7,July-T7,Thinned,Cerastium arvense,Native,Net,M,Bombus,bifarius,Bombus bifarius,Apidae
